Name	B1	B2	B3	B4	B5	B6	F1	F2	F3	F4	F5	F6
Deoxyadenosine	8.269684119805397	8.243987437150354	8.26374961862818	8.269794727820917	8.26444822088449	8.217660701912948	7.810482970978477	7.838351764048276	7.832092025060154	7.814006958341991	7.837932769367613	7.838335190068443
Serotonin	6.06737003889282	6.103135249508763	6.101092643232889	6.114479123611863	6.088172940424196	6.072709771456865	6.505260882305882	6.4986878175698015	6.492471550318315	6.505466915644691	6.512636264185104	6.512489924877156
Lysine	7.171355645582576	7.399442154778436	7.507405484524514	7.479691418028159	7.492876985905172	7.498841246561105	7.764442403422861	7.788637258171707	7.772350580353968	7.792764857448512	7.781313248046898	7.777756597326943
Ornithine	6.346276145702017	6.389866147394542	6.413474082354395	6.459294160921966	6.455283908098388	6.441656026671745	6.746311876017289	6.75555509112596	6.755712771842713	6.756239266948353	6.745806358725296	6.747248666023099
Raffinose	6.527718890438765	6.559442044649549	6.63290908533352	6.646703831254617	6.665327664245718	6.65963206556185	6.306955325429082	6.251421539501952	6.28583549527662	6.274258531236252	6.235255817711367	6.262444483906995
Medicarpin	6.5750989599687	6.348525900758492	6.387791914721735	6.604949281817331	6.194822107353204	6.30944006766481	6.9798167321595415	6.909345358758549	6.965336590528319	6.9414024443699285	7.011900120741465	6.960666108469055
Nortropine	5.403846745772021	5.442755484873824	5.601045539569776	5.4513744188559095	5.346991559046971	5.424857447107671	6.105450793763231	6.118995782071493	6.100808825969162	6.094089923801493	6.104643840678747	6.100623807640477
Phe-Tyr	6.342349896047404	6.366706286516228	6.327455342634594	6.353088968126133	6.349190900549565	6.351221086702497	6.861579572631757	6.873176737481302	6.885774323051278	6.874779066475355	6.841691715280405	6.895757754865152
Car(18:1)	7.622519889050049	7.587216151416756	7.615318504783807	7.634088360514062	7.604251436770925	7.578382397817865	7.015911836501632	7.043780260350974	7.041576972846689	7.03401535192016	7.054218647744431	7.06022985619453
N-Acetylputrescine	6.88287093363219	6.864629451871799	6.85850803895264	6.865553560612321	6.86731287096085	6.874997755994852	7.46724969114809	7.493477838969439	7.503343550746977	7.489842472699287	7.487925714071519	7.49725060974499
Tyramine	5.983905656476641	5.768289092023728	5.774703828996159	6.063230110154674	6.030296187261977	5.781918962722933	7.328930496251065	7.322237741184028	7.326853636924376	7.346503250833711	7.32073711645892	7.328776853560916
1-Methylnicotinamide	5.577709383924148	5.579916827660594	5.606337405358166	5.52253470242386	5.446719735543893	5.019916665327226	8.308107625046096	8.312563618306687	8.315316823922982	8.314958267444148	8.317746579949345	8.3205944767861
Palmitoyl sphingomyelin	5.703592080991892	5.716367765130017	5.704855969167786	5.701482691652084	5.750890836432713	5.757907775123749	6.220059187779479	6.184542613387454	6.22756464676045	6.204295472672001	6.179332812919558	6.189714514441519
IC-87114	7.338326311997444	7.358493764311452	7.309950729640098	7.33975808190223	7.353641154918161	7.364866844005254	6.946014934000457	6.940845649547125	6.950997467405428	6.958760584181466	6.976883330243917	6.929722288369576
Histidine	6.691788623532792	6.777901961990802	6.664567849357945	6.8471626041122615	6.87715294073876	6.863958483185876	7.496178143502219	7.15521484619219	7.51832397414426	7.527704836115202	7.534446232446883	7.311397201367762
Histamine	6.300082501327981	6.278544826351906	6.257606878610455	6.242941174305202	6.243462697071174	6.266355344798013	7.675623331638941	7.677225604050021	7.677525454039257	7.696410162550782	7.689024769215835	7.686225869450306
Tryptamine	5.288959268577383	5.336870860336449	5.203796523249462	5.427747199611596	5.315224489812417	5.402852299343041	6.870707321271369	6.886223132162892	6.844620351647964	6.88368875692956	6.860820504714346	6.8648243046121005
Cycleanine	6.498167403953714	6.468436897815203	6.538822102888805	6.762510620817953	6.4987336909697095	6.520213302180571	6.0651932346332496	6.29207456385074	6.106039451062699	6.100380190694234	6.140366558844111	6.15788413125272
2-Hydroxyadenine	7.000894482786258	6.988391089447894	6.983129047816652	6.9954203463037175	6.983940366087524	6.974587971377527	6.240774965950466	6.263530600890211	6.270224093989727	6.26795054144168	6.273250866708823	6.2710513019782415
Prolylhydroxyproline	7.699165303869829	7.620447843709411	7.6120561431070035	7.639405002573332	7.629039142530153	7.753245431881374	7.207923881227839	7.213661833014303	7.219175563367943	7.218519841461712	7.2178674512724195	7.219255738807358
Linoleamide	7.223472873387127	7.183424028828711	7.196702874766948	7.184268817930451	7.192824709717617	7.187235913352359	6.85792481441785	6.8263070183681	6.882115270684446	6.837433764534171	6.842373484505157	6.830647150630531
2-O-Methylcytosine	6.146481541703808	6.058238354048189	6.041588020492245	6.0200003451567055	5.998505712765826	6.036685903943251	6.334877710318581	6.336353365868231	6.309611887897358	6.528251361401822	6.312875216137397	6.32166905151302
Steviobioside	6.121521690220996	6.039928994049822	6.020441041311119	5.933611006194283	6.114173568992691	5.876084541051625	5.114647618556816	5.1042110199221815	5.44687304924494	5.1603816896894745	5.332937064298318	5.361326777616502
6-Oxocativic acid	6.90311663362608	6.831544734577557	6.811878233943504	6.914317016607173	6.831947423342302	6.819555213558924	6.556303416762312	6.599369587725287	6.490904395115988	6.475750780592642	6.410711998026613	6.577274414442979
Atropic acid	4.873553006930693	4.972068017850828	4.992732800021569	5.104070406008783	5.075295374161105	5.023170886981389	5.38478321167053	5.424134663947537	5.443763668666175	5.40820921045418	5.369352882751732	5.34893484339929
2-Methylglutamic acid	6.422478247514484	6.33316188284358	6.372188482501961	6.414626779774965	6.4039985308344765	6.398166888877913	7.522342758900191	7.540341486246213	7.534995811779539	7.525300078332832	7.524986678823403	7.5278889913757565
Ethyl Salicylate	6.551053434502083	6.572015199329397	6.584111285700077	6.664868301845715	6.578235296914015	6.609614512423343	7.1676608408823705	7.569096135520969	7.566907447226023	7.175086527681717	7.561987657142041	7.1807541916801245
9-Hydroxynonanoic acid	5.787063098166542	5.841065755775773	5.833359920952168	5.797850493098944	5.832773384740747	5.798379791696848	5.645917437383663	5.280855632108096	5.432448881394408	5.489389743011122	5.343345441747835	5.427507946938106
Allopregnanolone sulfate	7.050804829782248	6.949193249902597	7.0040130366303375	7.008863855614103	7.03406401573897	6.96110877228	6.580500084702483	6.589878122556293	6.5749798853275845	6.573016196579242	6.533402156240713	6.541037990520346
Nabilone	6.634102965277438	6.552938718009071	6.54117359629232	6.636386593344883	6.589820429297733	6.618802912631043	6.27927172674369	6.282988042925752	6.275170040418003	6.241996155346116	6.245916578605098	6.236756316165782
Androsterone Sulfate	7.067249076552557	7.007849667017756	7.0676722895285256	7.138600857389336	7.064179283633924	7.064202018029653	6.434586453954793	6.481253901076816	6.404542659238438	6.509455904326472	6.389758613929293	6.5262550097644345
Lignicol	5.612622656462813	5.509356758993571	5.571406116884095	5.646543411752781	6.143035427579011	5.63945577811246	6.111795525525958	6.142787559438691	6.18153355905404	6.175657275609714	6.147750430152741	6.157706941986687
Xylotetraose	5.615494491352946	5.615031687440339	5.66361999567116	5.679854381987064	5.6994624560181055	5.710130818428337	5.276570827862623	5.199798592473911	5.193227917365928	5.54666203630096	5.248660099437349	5.240030233870847
Melevodopa	5.838560927622585	5.790175735749489	5.824428821303537	5.823171031146395	5.791902847843045	5.785540368265349	5.576482733553029	5.26237455542038	5.552423160564253	5.55637884202553	5.389597367687583	5.563530719552761
5-Hydroxydiclofenac	6.2501308852498525	6.248225159757166	6.21841413343966	6.271466322941087	6.250387887248254	6.236314329823815	5.805341308287714	5.826654651548718	5.79821122839918	5.788876029570328	5.804428947105969	5.808953142420984
Auranticin A	5.843685313528352	5.821103990214712	5.923299485880532	5.924347317314907	5.92189016826863	5.920964415374733	5.487270366534381	5.426012808243208	5.467031366684841	5.499999572908188	5.492921731280121	5.419951408647225
